idx      freq   hz   halfsplid  fullsplid
548,    24865,  偶,       16,      267
549,     3463,  偷,       22,      362
550,       10,  偸,       22,      362
551,       11,  偺,       28,      408
552,        8,  偻,       13,      214
553,        5,  偻,       13,      220
554,       14,  偽,       25,      372
555,       10,  偾,        7,      118
556,      192,  偿,        4,       70
557,       12,  傀,       12,      192
558,        4,  傂,       29,      432
559,        5,  傃,       20,      324
560,     1164,  傅,        7,      123
561,        4,  傇,       19,      306
562,      113,  傈,       13,      203
563,        4,  傋,       11,      165
564,        3,  傌,       14,      222
565,      514,  傍,        2,       38
566,        6,  傎,        5,       97
567,       27,  傑,       11,      167
568,        9,  傒,       26,      377
569,        5,  傔,       18,      287
570,       18,  傕,       11,      174
571,        4,  傖,        4,       73
572,        9,  傘,       20,      315
573,       34,  備,        2,       40
574,       37,  傚,       26,      381
575,       20,  傛,       27,      400
576,       24,  傜,       27,      394
577,       15,  傝,       22,      350
578,       11,  傞,       20,      328
579,       20,  傢,       11,      163
580,       49,  傣,        5,       87
581,       13,  傥,       22,      351
582,        8,  傧,        2,       47
583,      685,  储,        4,       78
584,       48,  傩,       15,      264
585,     2437,  催,        3,       64
586,        6,  傭,       27,      400
587,        2,  傮,       28,      410
588,        3,  傯,       28,      416
589,        3,  傰,       17,      275
590,        4,  傱,       20,      322
591,      597,  傲,        1,       34
592,       60,  傳,        4,       81
593,        3,  傴,       27,      402
594,        7,  債,       29,      424
595,        2,  傶,       28,      418
596,       52,  傷,       21,      332
597,        3,  傸,        4,       82
598,        8,  傺,        4,       75
599,     7160,  傻,       21,      329
600,        2,  傽,       29,      426
601,       16,  傾,       18,      292
602,        3,  傿,       27,      397
603,        2,  僁,       26,      382
604,        3,  僂,       13,      214
605,        3,  僄,       17,      278
606,       22,  僅,       11,      168
607,        3,  僆,       13,      205
608,        3,  僇,       13,      215
609,        4,  僈,       14,      224
610,        3,  僉,       18,      287
611,        3,  僊,       26,      379
612,        4,  僋,       22,      350
613,        3,  働,        5,      102
614,        3,  僎,       28,      421
615,    34681,  像,       26,      380
616,        6,  僑,       18,      289
617,        2,  僓,       22,      365
618,        5,  僔,       28,      421
619,        6,  僕,       17,      284
620,       40,  僖,       26,      377
621,        5,  僗,       13,      199
622,        2,  僘,        4,       70
623,       88,  僚,       13,      207
624,        3,  僛,       18,      285
625,        3,  僝,       29,      438
626,        6,  僞,       25,      372
627,        2,  僠,        2,       49
628,        5,  僣,       22,      359
629,        5,  僤,       21,      331
630,        4,  僥,       11,      166
631,       45,  僦,       11,      171
632,      793,  僧,       20,      320
633,        3,  僨,        7,      118
634,        5,  僩,       26,      379
635,        3,  僪,       27,      402
636,       10,  僬,       11,      166
637,       37,  僭,       11,      164
638,       17,  僮,       22,      361
639,       11,  僮,       29,      439
640,        2,  僯,       13,      209
641,       14,  僰,        2,       49
642,        4,  僱,        8,      135
643,       15,  僳,       20,      324
644,        3,  僴,       26,      379
645,      338,  僵,       11,      165
646,        3,  僶,       14,      235
647,        4,  僸,       11,      168
648,       15,  價,       11,      163
649,       85,  僻,       17,      276
650,        3,  僽,       29,      434
651,       13,  僾,        1,       31
652,        2,  僿,       20,      314
653,       25,  儀,       27,      396
654,        4,  儁,       11,      175
655,        7,  儂,       15,      259
656,        3,  儃,       22,      350
657,       18,  億,       27,      396
658,        8,  儅,        5,       89
659,       21,  儆,       11,      169
660,       19,  儇,       26,      388
661,        4,  儈,       12,      189
662,        8,  儉,       11,      164
663,        9,  儊,        4,       78
664,       34,  儋,        5,       88
665,       13,  儌,       11,      166
666,        8,  儐,        2,       47
667,        6,  儑,        1,       32
668,      855,  儒,       19,      308
669,        4,  儓,       22,      349
670,        7,  儔,        5,       90
671,        4,  儕,        4,       68
672,        5,  儖,       13,      197
673,        6,  儗,       27,      396
674,        4,  儘,       11,      168
675,        5,  儚,       14,      230
676,        5,  儜,       15,      257
677,        7,  償,        4,       70
678,        3,  儠,       13,      208
679,        7,  儡,       13,      201
680,        3,  儢,       13,      220
681,        7,  儤,        2,       39
682,        3,  儥,       27,      402
683,        3,  儦,        2,       45
684,        4,  儩,       20,      321
685,       24,  優,       27,      401
686,        8,  儭,       18,      291
687,        4,  儮,       13,      203
688,        4,  儰,       25,      372
689,        6,  儱,       13,      213
690,        8,  儲,        4,       78
691,       10,  儳,        4,       69
692,       10,  儴,       26,      380
693,        7,  儵,       22,      358
694,        6,  儷,       13,      203
695,        6,  儸,       13,      219
696,        6,  儹,       28,      408
697,        4,  儺,       15,      264
698,        4,  儻,       22,      351
699,        3,  儼,       27,      392
700,        2,  儽,       13,      219
701,    15409,  儿,        6,      113
702,      164,  兀,       25,      376
703,      476,  允,       27,      405
704,    30886,  元,       27,      403
705,     2729,  兄,       26,      385
706,     2905,  充,        4,       76
707,     1548,  兆,       29,      427
708,        6,  兇,       26,      385
709,    84327,  先,       26,      379
710,    12328,  光,        8,      139
711,        3,  兊,       19,      310
712,     7151,  克,       12,      181
713,       13,  兌,        5,      106
714,     2805,  免,       14,      232
715,        5,  兎,       22,      363
716,       20,  児,       15,      251
717,      458,  兑,        5,      106
718,       61,  兒,        6,      113
719,     1422,  兔,       22,      363
720,       15,  兕,       20,      321
721,       19,  兖,       27,      392
722,        7,  兗,       27,      392
723,     4355,  党,        5,       89
724,      725,  兜,        5,      103
725,       14,  兟,       21,      336
726,       49,  兢,       11,      169
727,        2,  兤,        9,      158
728,    10589,  入,       19,      308
729,      134,  內,       15,      248
730,    25876,  全,       18,      296
731,       59,  兩,       13,      206
732,        2,  兪,       27,      402
733,     6678,  八,        2,       35
734,     5026,  公,        8,      133
735,     8090,  六,       13,      211
736,        9,  六,       13,      215
737,     1012,  兮,       26,      377
738,     4206,  兰,       13,      197
739,     9925,  共,        8,      133
740,    11612,  关,        8,      138
741,     3373,  兴,       26,      384
742,     4612,  兵,        2,       48
743,       28,  其,       11,      162
744,    58168,  其,       18,      285
745,     2344,  具,       11,      172
746,      810,  典,        5,       97
747,       69,  兹,        3,       59
748,      956,  兹,       28,      415
749,     7054,  养,       27,      393
750,     3049,  兼,       11,      164
751,     1341,  兽,       21,      339
752,      433,  冀,       11,      162
753,        3,  冁,        4,       69
754,       80,  冂,       11,      170
755,    40881,  内,       15,      248
756,       83,  円,       27,      392
757,     3377,  冇,       14,      226
758,      387,  冈,        8,      127
759,      442,  冉,       19,      299
760,       11,  冊,        3,       56
761,     1124,  册,        3,       56
762,   120735,  再,       28,      407
763,       24,  冏,       11,      170
764,        2,  冐,       14,      226
765,        4,  冑,       29,      434
766,     3290,  冒,       14,      226
767,        7,  冒,       14,      238
768,        3,  冓,        8,      134
769,        2,  冔,       26,      387
770,       84,  冕,       14,      232
771,       43,  冗,       19,      306
772,      114,  冘,       27,      401
773,    40881,  写,       26,      382
774,     5772,  军,       11,      175
775,     2318,  农,       15,      259
776,        1,  冝,       27,      396
777,        2,  冞,       14,      231
778,     1426,  冠,        8,      138
779,      213,  冢,       29,      433
780,      472,  冤,       27,      403
781,      466,  冥,       14,      236
782,        5,  冦,       12,      186
783,       23,  冨,        7,      123
784,       23,  冩,       26,      382
785,       10,  冪,       14,      231
786,     1996,  冬,        5,      102
787,     2511,  冯,        7,      119
788,     4842,  冰,        2,       48
789,        2,  冱,        9,      154
790,     8294,  冲,        4,       76
791,      854,  决,       11,      174
792,        3,  冴,        9,      154
793,      402,  况,       12,      191
794,      327,  冶,       27,      395
795,     6135,  冷,       13,      202
796,        5,  冹,        7,      123
797,      968,  冻,        5,      102
798,      148,  冼,       26,      379
799,       61,  冽,       13,      208
800,        3,  冾,       18,      286
801,     2577,  净,       11,      169
802,      126,  凄,       18,      285
803,        2,  凅,        8,      135
804,     4543,  准,       29,      441
805,       23,  凇,       20,      322
806,        4,  凈,       11,      169
807,     2197,  凉,       13,      206
808,        9,  凊,       18,      292
809,      245,  凋,        5,       98
810,     1764,  凌,       13,      210
811,        8,  凍,        5,      102
812,        1,  凎,        8,      126
813,     2548,  减,       11,      164
814,        2,  凐,       27,      397
815,     1848,  凑,        3,       61
816,        1,  凔,        3,       54
817,        6,  凖,       29,      441
818,        2,  凗,        3,       64
819,        1,  凘,       20,      321
820,      129,  凛,       13,      209
821,        3,  凜,       13,      209
822,     1031,  凝,       15,      257
823,        1,  凞,       26,      377
824,    16626,  几,       11,      162
825,     4521,  凡,        7,      115
826,     2211,  凤,        7,      119
827,       75,  処,        4,       78
828,       72,  凧,       29,      431
829,        1,  凩,       14,      240
830,        8,  凪,       29,      432
831,       40,  凫,        7,      123
832,        1,  凬,        7,      119
833,     2937,  凭,       17,      281
834,     1984,  凯,       12,      177
835,      120,  凰,        9,      158
836,       12,  凱,       12,      177
837,      148,  凳,        5,       94
838,     1535,  凶,       26,      385
839,      582,  凸,       22,      363
840,      527,  凹,        1,       34
841,    55547,  出,        4,       78
842,     1075,  击,       11,      162
843,       33,  凼,        5,       89
844,      950,  函,        9,      145
845,        1,  凾,        9,      145
846,      228,  凿,       28,      410
847,       28,  凿,       28,      422
848,     5409,  刀,        5,       90
849,      376,  刁,        5,       98
850,       72,  刂,        5,       90
851,       30,  刂,       13,      203
852,      557,  刃,       19,      303
853,       73,  刄,       19,      303
854,    28804,  分,        7,      118
855,     9717,  切,       18,      290
856,       49,  刈,       27,      396
857,        1,  刉,       11,      162
858,      522,  刊,       12,      178
859,        4,  刋,       18,      287
860,        1,  刌,        3,       65
861,       45,  刍,        4,       78
862,       84,  刎,       25,      373
863,        1,  刐,        5,       88
864,      820,  刑,       26,      384
865,     1591,  划,        9,      155
866,        2,  划,        9,      156
867,        3,  刓,       25,      370
868,        1,  刔,       11,      174
869,        1,  刕,       13,      203
870,       12,  刖,       27,      404
871,     6282,  列,       13,      208
872,    11440,  刘,       13,      211
873,    28270,  则,       28,      411
874,    33325,  刚,        8,      127
875,     2712,  创,        4,       82
876,        2,  刜,        7,      123
877,     4758,  初,        4,       78
878,        1,  刞,       18,      295
879,     4393,  删,       21,      331
880,        1,  刡,       14,      235
881,     1165,  判,       17,      270
882,       78,  別,        2,       46
883,        1,  刧,       11,      167
884,       15,  刨,        2,       39
885,      309,  刨,       17,      272
886,     4951,  利,       13,      203
887,       12,  刪,       21,      331
888,    48131,  别,        2,       46
889,       15,  刭,       11,      169
890,     1343,  刮,        8,      136
891,   296880,  到,        5,       90
892,        1,  刱,        4,       82
893,        4,  刲,       12,      192
894,       24,  刳,       12,      187
895,        2,  刵,        6,      113
896,     4902,  制,       29,      432
897,    14316,  刷,       21,      341
898,      977,  券,       18,      296
899,       11,  券,       26,      388
900,       22,  刹,        4,       67
901,      257,  刹,       21,      329
902,     1446,  刺,        3,       59
903,     2371,  刻,       12,      181
904,        5,  刽,        8,      140
905,       23,  刿,        8,      140
906,       23,  剀,       12,      177
907,      268,  剁,        5,      108
908,     1693,  剂,       11,      162
909,      268,  剃,       22,      356
910,        1,  剄,       11,      169
911,        1,  剆,       13,      219
912,      196,  則,       28,      411
913,        7,  剉,        3,       66
914,      382,  削,       26,      381
915,      147,  削,       26,      389
916,        6,  剋,       12,      181
